jp_0,jp_1,jp_2,jp_3,jp_4,jp_5,jp_6,jp_7,jp_8,jp_9,jp_10,jp_11,jp_12,jp_13,jp_14,jp_15,jp_16,jp_17,jp_18,jp_19,jp_20,jp_21,jp_22,jv_0,jv_1,jv_2,jv_3,jv_4,jv_5,jv_6,jv_7,jv_8,jv_9,jv_10,jv_11,jv_12,jv_13,jv_14,jv_15,jv_16,jv_17,jv_18,jv_19,jv_20,jv_21,jv_22,av0,av1,av2,pg0,pg1,pg2,qw,qx,qy,qz,la_0,la_1,la_2,la_3,la_4,la_5,la_6,la_7,la_8,la_9,la_10,la_11,la_12,la_13,la_14,la_15,la_16,la_17,la_18,la_19,la_20,la_21,la_22
0.054157525300979614,0.0,0.0,-0.2545023262500763,-0.1747036874294281,0.0,-0.15497830510139465,0.0,0.0,-0.1510797142982483,0.1155681163072586,0.0,0.0,-0.07172112166881561,-0.015773683786392212,0.0,0.03364276885986328,0.0,-0.2745179533958435,0.08354443311691284,-0.06362894177436829,0.06772398948669434,-0.4297814965248108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.009760488756000996,-0.012520523741841316,0.005455801263451576,-3.723758634777141e-09,-1.0681722173444541e-10,-1.0,0.9995888471603394,0.0,-1.862645149230957e-09,-0.028673529624938965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.04609459638595581,-0.020651929080486298,-0.013047701679170132,-0.12816619873046875,-0.03977736830711365,-0.00605064956471324,-0.19261065125465393,-0.02965221181511879,-0.015592275187373161,-0.10238587856292725,0.09458303451538086,0.038126055151224136,0.01615927554666996,-0.10842368751764297,-0.013128429651260376,-0.03573661670088768,0.07119405269622803,-0.030172074213624,-0.23061011731624603,0.08633849024772644,-0.11892158538103104,-0.0017870664596557617,-0.2878495752811432,-1.9932363033294678,-0.12630963325500488,0.3563884496688843,4.21801233291626,-7.25241756439209,0.47110190987586975,-1.7684886455535889,-0.8150646686553955,-0.5313681364059448,3.1875455379486084,-3.433549404144287,2.597104787826538,2.455146312713623,-1.2975376844406128,0.39537250995635986,-2.0020413398742676,0.8230159878730774,-1.6722429990768433,3.3814690113067627,-0.09530075639486313,-3.1909027099609375,-5.064930438995361,8.020005226135254,0.16293124854564667,0.2712487280368805,0.0725158229470253,0.011143750511109829,-0.008527823723852634,-0.999901533126831,0.9998246431350708,0.0043601226061582565,0.005497134756296873,-0.017362896353006363,-2.164680242538452,0.1255493462085724,-0.7111674547195435,0.8586505055427551,0.07634203881025314,0.003148391842842102,0.05285583436489105,-1.107252836227417,0.23089599609375,0.511117696762085,-0.48831433057785034,0.935263991355896,0.811028778553009,0.731171727180481,0.6086721420288086,-0.38653820753097534,0.9523779153823853,-0.5301225185394287,-0.14398707449436188,-0.5242465138435364,-1.7671658992767334,-1.574005365371704,0.7734891772270203
-0.13248994946479797,-0.0412006676197052,-0.018206339329481125,-0.005887806415557861,0.0033675432205200195,-0.0025088218972086906,-0.23869046568870544,-0.06459351629018784,-0.03158273175358772,-0.030486106872558594,0.029061496257781982,0.11162246018648148,0.0507768914103508,-0.13455358147621155,-0.005627423524856567,-0.0734882801771164,0.10470026731491089,-0.06945136189460754,-0.1579376757144928,0.0831366777420044,-0.18183352053165436,-0.11991387605667114,-0.1208740770816803,-2.556344509124756,-0.7056207060813904,-0.12929101288318634,4.085807800292969,-1.533392071723938,0.44961613416671753,-2.4755020141601562,-1.5380555391311646,-0.7511532306671143,3.9962894916534424,-2.597728967666626,3.509282112121582,1.7061268091201782,-0.5026569366455078,0.5568432211875916,-1.4540331363677979,1.452294111251831,-1.8069977760314941,3.5781004428863525,-0.298714280128479,-2.5891592502593994,-6.027050971984863,7.475094795227051,0.3040849268436432,0.4566998779773712,0.5052598118782043,0.021689705550670624,-0.017301833257079124,-0.9996150135993958,0.9998661875724792,0.008745362982153893,0.010770557448267937,-0.008660245686769485,-2.53958797454834,-0.1383257359266281,-0.34666910767555237,0.8930646777153015,0.23290365934371948,0.15293817222118378,-0.5008741617202759,-1.2177098989486694,0.43549180030822754,0.5253698229789734,-1.1736729145050049,1.581479787826538,0.5974860191345215,0.5864414572715759,0.7339409589767456,-0.45811086893081665,1.268507480621338,-0.7125879526138306,0.09267620742321014,-0.22298696637153625,-1.5290809869766235,-2.2200284004211426,1.2891185283660889
-0.1845463216304779,-0.06087951734662056,-0.038049791008234024,0.054621994495391846,-0.00020700693130493164,0.00988886971026659,-0.2933594882488251,-0.09975770115852356,-0.04953651875257492,0.06113255023956299,-0.04017895460128784,0.18498989939689636,0.06890162080526352,-0.13408145308494568,0.007757142186164856,-0.0917678028345108,0.12899351119995117,-0.100140281021595,-0.08675480633974075,0.07202959060668945,-0.2161499708890915,-0.24234527349472046,-0.021643277257680893,-2.5854103565216064,-0.9329332709312439,-1.3048264980316162,2.2285635471343994,0.18647466599941254,0.597962498664856,-2.7402772903442383,-1.7653406858444214,-0.9322639107704163,4.596240997314453,-3.408841848373413,3.532637357711792,0.41802892088890076,0.4095408618450165,0.8079348802566528,-0.5722482800483704,1.1181297302246094,-1.2967153787612915,3.4858338832855225,-0.754758894443512,-1.1633150577545166,-5.938379287719727,3.790381908416748,0.1251579374074936,0.5993767380714417,1.1311218738555908,0.03232491761445999,-0.022285737097263336,-0.9992289543151855,0.9998070597648621,0.011137094348669052,0.016171034425497055,0.0004899220075458288,-2.3169422149658203,-0.13065415620803833,-0.8668824434280396,0.5425437092781067,-0.004844315350055695,0.19518080353736877,-0.9682891368865967,-1.2257522344589233,0.34508728981018066,0.8009973764419556,-1.8109289407730103,1.8455150127410889,0.34491056203842163,0.15113402903079987,0.6586774587631226,-0.3939821124076843,0.9721734523773193,-0.7097338438034058,0.6691141128540039,-0.24229225516319275,-1.1480072736740112,-2.487393617630005,0.8001328706741333
-0.2402573525905609,-0.07648789882659912,-0.07423536479473114,0.10861504077911377,-0.02084389328956604,0.0037162781227380037,-0.3485555946826935,-0.12801502645015717,-0.06785239279270172,0.150229811668396,-0.10580447316169739,0.21834149956703186,0.07496494799852371,-0.11609309911727905,0.0236721932888031,-0.0926695168018341,0.13887286186218262,-0.12343528866767883,-0.015353888273239136,0.05107264220714569,-0.23210053145885468,-0.35919153690338135,0.004810083657503128,-2.9561867713928223,-0.416603147983551,-1.23273766040802,3.2476229667663574,-0.030391275882720947,-1.6933832168579102,-2.671156644821167,-1.1515673398971558,-0.8657082319259644,4.187075614929199,-2.7965915203094482,1.006226897239685,0.15764445066452026,1.2327526807785034,0.8043460845947266,0.21960556507110596,0.2471161186695099,-1.004817247390747,3.5404250621795654,-1.2969189882278442,-0.5921147465705872,-5.491007328033447,0.5798071026802063,-0.20037841796875,0.6854872703552246,1.0847218036651611,0.04498422518372536,-0.022053318098187447,-0.9987442493438721,0.9996218681335449,0.010774669237434864,0.022622626274824142,0.011318963952362537,-2.1084277629852295,-0.09346143156290054,-1.2952231168746948,1.0223207473754883,-0.46775031089782715,-0.022713035345077515,-1.4632595777511597,-1.0901376008987427,0.24743294715881348,0.7215114831924438,-2.1322312355041504,1.4091490507125854,0.3433650732040405,0.40292787551879883,0.3670889139175415,-0.3295501470565796,0.7180484533309937,-0.7332257032394409,0.9938102960586548,-0.6391875743865967,-1.2266159057617188,-2.8252575397491455,0.14453452825546265
-0.3034640848636627,-0.08649104088544846,-0.08396367728710175,0.18014740943908691,-0.010328799486160278,-0.01178542710840702,-0.4075903594493866,-0.15211275219917297,-0.0802161693572998,0.24883097410202026,-0.18792250752449036,0.2426959127187729,0.07541786879301071,-0.09033796936273575,0.035919129848480225,-0.08382304757833481,0.14976531267166138,-0.14056767523288727,0.052399590611457825,0.021735072135925293,-0.25052452087402344,-0.45447951555252075,0.0035877064801752567,-3.2571165561676025,-0.6417532563209534,-0.3342462480068207,3.661417245864868,0.9740685224533081,0.3540552854537964,-2.964877128601074,-1.1599279642105103,-0.431761771440506,4.978923320770264,-3.9772281646728516,1.1755473613739014,-0.0376860536634922,1.3696268796920776,0.4657076597213745,0.5197123885154724,0.7689199447631836,-0.7283495664596558,3.2058918476104736,-1.611458659172058,-1.1440834999084473,-3.9748988151550293,-0.2073739767074585,-0.17748799920082092,0.6911218762397766,1.327578067779541,0.05850560963153839,-0.019734855741262436,-0.998091995716095,0.9992367625236511,0.009169105440378189,0.02949458174407482,0.023913556709885597,-2.674363613128662,-0.06040891259908676,-1.3895883560180664,0.821118175983429,-0.7250226140022278,-0.039185792207717896,-1.5231881141662598,-1.092215895652771,0.2512381076812744,2.1841139793395996,-1.7948178052902222,1.2236639261245728,0.37348878383636475,0.5482302308082581,-0.06495876610279083,-0.32245343923568726,0.9021216034889221,-0.7354617118835449,1.0127747058868408,-0.70802903175354,-1.4694997072219849,-2.5297908782958984,-0.03844588249921799
-0.36145707964897156,-0.10652073472738266,-0.09478118270635605,0.245261549949646,0.036545246839523315,-0.011336177587509155,-0.4671650826931,-0.17276573181152344,-0.07044781744480133,0.38522815704345703,-0.24713388085365295,0.26180002093315125,0.07220283150672913,-0.05986620485782623,0.03950457274913788,-0.07061643898487091,0.1722733974456787,-0.14643003046512604,0.11379481852054596,-0.009746715426445007,-0.2803700268268585,-0.5189651846885681,-0.026277057826519012,-2.6254239082336426,-1.1209392547607422,-0.4729982018470764,2.9198601245880127,2.778726100921631,0.4040241539478302,-2.6158573627471924,-0.8973198533058167,0.9787549376487732,7.398685932159424,-2.2098543643951416,0.0009518145816400647,-0.2418377548456192,1.6769746541976929,-0.03995821252465248,0.6590431332588196,1.3303889036178589,-0.161423459649086,2.910085439682007,-1.528968334197998,-1.702467679977417,-2.457845687866211,-1.627874493598938,-0.03634300082921982,0.40323886275291443,1.4973200559616089,0.06876032799482346,-0.020022328943014145,-0.997432291507721,0.9986261129379272,0.008694092743098736,0.034760329872369766,0.03823371231555939,-2.6602044105529785,0.11513026803731918,-1.8109914064407349,-0.2701416611671448,-1.4728611707687378,0.13936227560043335,-1.127934217453003,-0.9345756769180298,0.24506086111068726,3.6705973148345947,-1.4632129669189453,1.4426608085632324,0.29626941680908203,0.6667299866676331,-0.43834149837493896,-0.3230755925178528,0.98219233751297,-0.6214972734451294,1.1418060064315796,-0.8005813360214233,-1.7369675636291504,-2.6147780418395996,-0.4958169162273407
-0.402744859457016,-0.12179198116064072,-0.10187199711799622,0.3146944046020508,0.027430027723312378,-0.01216774620115757,-0.5005990266799927,-0.16984404623508453,-0.04274864122271538,0.5168839693069458,-0.2670641243457794,0.24492675065994263,0.07800782471895218,-0.01908084750175476,0.03374558687210083,-0.05186111107468605,0.1877613663673401,-0.12507930397987366,0.16247691214084625,-0.03148448467254639,-0.3283117413520813,-0.5482962727546692,-0.06370390951633453,-1.3668841123580933,-0.5084071159362793,-0.23415909707546234,3.1682956218719482,-1.6599395275115967,0.06969420611858368,-0.7275972962379456,0.7608382105827332,1.3714652061462402,5.791610240936279,-0.5425414443016052,-0.9518689513206482,0.5427371263504028,2.3392724990844727,-0.46661099791526794,0.9507266879081726,0.408121794462204,1.2294470071792603,1.967448115348816,-0.7875211238861084,-2.79833722114563,-0.6793441772460938,-1.7129276990890503,-0.0303926020860672,-0.17903578281402588,0.4895727336406708,0.07027425616979599,-0.020422285422682762,-0.9973186254501343,0.9982198476791382,0.008550219237804413,0.03560303896665573,0.047078687697649,-0.6974889636039734,0.7757176756858826,-2.3485195636749268,-1.1083087921142578,-2.21661114692688,0.07505351305007935,-1.0462372303009033,-0.20945638418197632,-0.24472945928573608,3.692026138305664,-1.1861019134521484,0.7642714977264404,0.39574679732322693,0.5385972261428833,-0.3748210668563843,-0.15448768436908722,0.4112734794616699,-0.1993037462234497,0.8945735692977905,-1.1178247928619385,-2.601229667663574,-2.896850109100342,-0.6585286259651184
-0.41972222924232483,-0.12234457582235336,-0.10467351227998734,0.3733665943145752,-0.005896925926208496,-0.01588306948542595,-0.49749019742012024,-0.14375965297222137,-0.023278789594769478,0.6073153018951416,-0.2902565896511078,0.21631495654582977,0.08982309699058533,0.03339017927646637,0.024296388030052185,-0.0363621786236763,0.1809605360031128,-0.08396837115287781,0.1903054267168045,-0.04011233150959015,-0.3896697163581848,-0.5563637614250183,-0.12478916347026825,-0.2909771800041199,0.27354696393013,-0.09420105814933777,2.4818930625915527,-1.5868035554885864,-0.008170202374458313,0.8881271481513977,1.5918766260147095,0.5441616177558899,3.559990644454956,-1.2584086656570435,-1.3752199411392212,0.5631234049797058,2.7438106536865234,-0.5149778723716736,0.5749421715736389,-0.7192338705062866,2.0178189277648926,0.9110754728317261,-0.20686961710453033,-3.201009750366211,-0.2891421616077423,-3.021390914916992,-0.15592947602272034,-0.6333174705505371,-0.15224945545196533,0.06191888079047203,-0.01832553744316101,-0.9979129433631897,0.9983128905296326,0.007661574985831976,0.031382039189338684,0.04824795201420784,0.38598698377609253,0.9250637292861938,-2.604438304901123,-0.48677515983581543,-2.443948984146118,-0.43989983201026917,-1.9149713516235352,-0.09832998365163803,-0.3394327759742737,3.3032450675964355,-1.4924378395080566,0.5515881180763245,0.2897201478481293,-0.056425198912620544,-0.36788803339004517,-0.18896499276161194,-0.04981377348303795,0.1535792052745819,0.6234108805656433,-1.0738164186477661,-2.8715195655822754,-3.23525071144104,-1.2175511121749878
-0.42095932364463806,-0.10917548090219498,-0.10392637550830841,0.419323205947876,-0.03726613521575928,-0.0222338754683733,-0.4715892970561981,-0.10943636298179626,-0.0191807858645916,0.6534805297851562,-0.3083832561969757,0.183590829372406,0.09736420959234238,0.08740966022014618,0.014413580298423767,-0.028589794412255287,0.15778863430023193,-0.049815356731414795,0.20641006529331207,-0.04026868939399719,-0.45380768179893494,-0.5784622430801392,-0.20581188797950745,0.21828556060791016,0.9532923698425293,0.18964813649654388,1.9503105878829956,-1.5316376686096191,-0.012466877698898315,1.5837959051132202,1.7179832458496094,-0.09397521615028381,1.452324390411377,-0.73891681432724,-1.5095552206039429,0.1908634603023529,2.52604341506958,-0.5063113570213318,0.23575681447982788,-1.3155462741851807,1.4420973062515259,0.7017776370048523,0.07910734415054321,-3.143624782562256,-1.7618557214736938,-3.829465866088867,-0.1788305938243866,-0.7838603258132935,-0.4477466344833374,0.047895483672618866,-0.014381970278918743,-0.998748779296875,0.9986733794212341,0.006107411812990904,0.024254804477095604,0.04500862583518028,0.6967542767524719,1.1724481582641602,-2.733447313308716,-0.32253432273864746,-2.4402389526367188,-0.8295413255691528,-2.744715452194214,-0.16758772730827332,-0.13907432556152344,2.8760223388671875,-1.457667589187622,0.38098064064979553,0.0755641758441925,-0.4820905923843384,-0.19210775196552277,-0.1645592451095581,-0.3719910979270935,0.1491137444972992,1.1548337936401367,-1.1280027627944946,-3.101868152618408,-3.776387929916382,-1.7341163158416748
