bx,by,bz,rx,ry,rz,heading
-1.3851048,-0.16920994,0.94560623,-1.9346097,0.01209392,0.6108843,0.07725496590137482
-1.4514457,-0.17247796,0.97675145,-1.9369411,0.016284648,0.6121663,0.07003072649240494
-1.5173123,-0.17572263,1.0037624,-1.9400548,0.020395404,0.61234707,0.05410777032375336
-1.5827205,-0.17894469,1.0266736,-1.943651,0.024782429,0.61244386,0.03360770642757416
-1.5025307,-0.1637904,0.8946491,-1.947011,0.029371807,0.61271566,0.014897972345352173
-1.4227715,-0.1488195,0.7597,-1.949563,0.033379707,0.612676,-0.002082293853163719
-1.3442513,-0.1340812,0.62295115,-1.9509194,0.036273733,0.6122897,-0.016810506582260132
-1.2669581,-0.1195732,0.48444283,-1.9510955,0.037912004,0.6121408,-0.03237583488225937
-1.1908795,-0.10529318,0.34421492,-1.950636,0.03849072,0.61256564,-0.05077516660094261
-1.116003,-0.09123879,0.20230676,-1.9500581,0.038276196,0.6133403,-0.06963979452848434
-1.0423161,-0.077407695,0.05875738,-1.9495968,0.037333462,0.6140144,-0.08386486768722534
1.2266234,-0.041219875,1.0587153,-1.9492812,0.0356635,0.6142748,-0.092145174741745
1.1047739,-0.041433353,1.0831729,-1.9490247,0.033227406,0.61393565,-0.09537002444267273
0.98440504,-0.04164423,1.1034307,-1.9489206,0.030479107,0.6130441,-0.09469961374998093
0.86547333,-0.041852586,1.1195438,-1.9482077,0.028261466,0.6130031,-0.0873640775680542
0.74793905,-0.042058494,1.131564,-1.9468986,0.027316589,0.6135677,-0.07568351179361343
0.6317648,-0.042262018,1.1395416,-1.9455041,0.0275781,0.6138514,-0.06452614068984985
0.51691645,-0.04246322,1.1435243,-1.9443047,0.028578728,0.6135622,-0.057751577347517014
0.40336248,-0.04266215,1.1435578,-1.9433436,0.030006165,0.6129214,-0.054961416870355606
0.29107395,-0.04285887,1.1396866,-1.9427624,0.03198573,0.6121893,-0.05496278405189514
0.1800243,-0.043053415,1.1319535,-1.9425322,0.03484365,0.6116396,-0.05663711205124855
0.070189394,-0.043245833,1.1204004,-1.9423195,0.03867911,0.6115776,-0.05927351489663124
-0.038452763,-0.043436162,1.105068,-1.941708,0.04328389,0.6121982,-0.06328541785478592
